id,first_name,last_name,gender,favorite_color,tshirt_size,birthday,pet,mother_name,father_name,zip_code
1,Daniel,Burton,Male,Pink,L,04/05/2004,Jerry,Martin,Philip,
2,Katherine,Scott,Female,Orange,3XL,07/12/2011,Kimberly,Elizabeth,Evelyn,
3,Tammy,Sanchez,Female,Goldenrod,L,05/08/2013,Catherine,Christina,Marilyn,
4,Anthony,Burton,Male,Yellow,S,12/03/2003,Steven,Nicholas,David,
5,Deborah,Kim,Female,Puce,M,05/03/2012,Katherine,Susan,Teresa,87785
6,Sarah,Howard,Female,Indigo,L,04/12/2009,Christine,Julia,Judith,
7,James,Holmes,Male,Pink,XL,11/17/2002,Frank,Raymond,Ryan,
8,Nicole,Gonzales,Female,Green,XS,12/04/2005,Nancy,Denise,Mildred,
9,Amanda,Gomez,Female,Mauv,XS,07/05/2000,Amy,Deborah,Kathy,
10,Charles,Gomez,Male,Violet,XS,06/25/2000,Terry,Roy,Alan,92907 CEDEX
11,David,Howard,Male,Pink,S,08/31/2002,William,Raymond,Phillip,
12,Janet,Owens,Female,Orange,XL,02/15/2003,Rose,Amy,Heather,
13,Rose,Adams,Female,Teal,XS,12/23/2015,Julie,Karen,Virginia,
14,Catherine,Porter,Female,Turquoise,S,01/11/2014,Andrea,Lillian,Gloria,
15,Donald,Dunn,Male,Red,M,06/01/2008,Billy,Gerald,Charles,
16,Helen,Castillo,Female,Crimson,L,03/23/2012,Amanda,Joan,Alice,68704 CEDEX
17,Shawn,Bowman,Male,Violet,L,10/10/2003,Aaron,John,Scott,
18,Joan,Gordon,Female,Fuscia,2XL,04/18/2013,Sarah,Karen,Judith,
19,Carolyn,Wheeler,Female,Mauv,L,06/02/2008,Jean,Frances,Sharon,
20,Keith,Hill,Male,Pink,S,01/28/2004,Scott,Benjamin,Alan,
21,Patricia,Gordon,Female,Green,M,08/05/2015,Melissa,Gloria,Sarah,
22,Randy,Freeman,Male,Teal,XL,09/20/2011,Douglas,Nicholas,Samuel,
23,Aaron,Andrews,Male,Red,L,01/15/2003,Russell,Charles,Mark,
